"image","xmin","ymin","xmax","ymax","label"
"0_new.jpg",11.091939786585366,5.311737804878049,42.930068597560975,41.20998475609756,"zero"
"200.jpg",11.04971415327565,23.653920407743,37.12395704573548,66.36557866556838,"five"
"200.jpg",37.29971415327565,23.032266783360793,71.17216470951793,58.99222611202636,"five"
"200.jpg",77.76440822002472,19.851021931630974,108.24069066749072,58.80437860378913,"plus"
"200.jpg",122.17146940667492,20.54700370675453,150.08575401730533,64.59116299423394,"six"
"200.jpg",150.71577564894932,28.969058896210875,177.04959826946848,66.42909544892916,"six"
"200.jpg",184.1677611248455,36.3370057660626,209.33617892459827,56.25695016474465,"eq"
"200.jpg",227.54055933250928,30.638063735584847,240.2951174289246,73.05511223228996,"one"
"200.jpg",242.08648794808406,34.778817442339374,266.0029743510507,67.79808484349259,"two"
"200.jpg",265.8096415327565,35.634266886326195,280,72.457784184514,"one"
"200.jpg",13.982153893695921,116.764119130972,28.764678615574784,185.6271236614498,"one"
"200.jpg",37.77020241038319,130.1012922158155,68.38573856613102,179.49302409390447,"two"
"200.jpg",72.2172435105068,131.9851729818781,90.32022558714463,190.24492895387152,"one"
"200.jpg",99.50150648949321,152.3037865527183,120.11240729295427,163.42327790362438,"minus"
"200.jpg",135.09502472187887,133.314971169687,154.37152348578493,181.0012098434926,"six"
"200.jpg",154.75278121137208,137.44085924629326,174.3104913473424,182.91076760708404,"six"
"200.jpg",183.50258807169345,152.89030323311368,212.0076869592089,173.25486511532125,"eq"
"200.jpg",217.39937422744129,137.75168605848435,239.07022558714462,188.20968904448105,"five"
"200.jpg",242.7814045117429,134.0541984143328,268.37028739184177,184.77302563838552,"five"
"203.jpg",9.320534610630409,16.533283566721583,44.12044190358468,77.55804674629326,"four"
"203.jpg",54.55365420271941,16.40625,79.80859857849197,74.6889801276771,"four"
"203.jpg",97.06389060568604,40.93183690280066,131.79890296662546,79.58517813014828,"div"
"203.jpg",143.80040945611867,23.176868822075786,166.74752781211373,78.5702610172982,"five"
"203.jpg",167.02197929542646,20.42537582372323,200.48072466007417,80.34602810955519,"five"
"203.jpg",209.3091393695921,42.977888179571664,229.59286155747836,65.66824546952225,"eq"
"203.jpg",236.62449783683562,30.684012046952226,259.69870210135974,82.31369697281714,"six"
"203.jpg",259.2336217552534,31.482701812191106,280,77.48912427924218,"six"
"203.jpg",3.799057478368356,136.40431939868205,23.295928615574788,178.87542473228996,"six"
